Position,Number,Name
GK,12,Hermione Cull
GK,28,Sophie Hillyerd
GK,32,Emily Orman
GK,35,Sophia Poor
DF,2,Grace Neville
DF,3,Emma Mukandi
DF,4,Georgia Brougham
DF,5,Teyah Goldie
DF,6,Megan Campbell
DF,20,Maddi Wilde
DF,22,Cerys Brown
DF,24,Freya Godfrey
DF,27,Corrine Henson
MF,7,Shen Mengyu
MF,8,Saki Kumagai
MF,10,Gesa Marashi
MF,13,Charlène Meyong
MF,14,María Pérez
MF,15,Sofia Jakobsson
MF,16,Julia Roddar
MF,17,Lucy Fitzgerald
MF,25,Rofiat Imuran
FW,9,Kosovare Asllani
FW,11,Miljana Ivanović
FW,18,Danielle Carter
FW,19,Lotta Lindström
FW,23,Isobel Goodwin
FW,33,Chantelle Boye-Hlorkah
